id,group,aritfact
35015,com.creditease.moniter,com.creditease.uav.x.robot.interaction
35016,com.creditease.moniter,com.creditease.uav.hook.httpclients
35017,com.creditease.moniter,com.creditease.uav.hook.jdbc
35018,com.creditease.moniter,com.creditease.uav.hook.jaxws
35019,com.creditease.moniter,com.creditease.uav.hook.redis
35020,com.creditease.moniter,com.creditease.uav.ultron
35021,com.creditease.moniter,com.creditease.uav.ultron.jdk7.network
35022,com.creditease.moniter,com.creditease.uav.ultron.jdk8.network
35023,com.creditease.moniter,com.creditease.uav.upgrade
35024,com.creditease.moniter,com.creditease.uav.hook.dubbo
35025,com.creditease.moniter,com.creditease.uav.jetty.plus.core
35026,celocaljar,tomcat-juli
35027,celocaljar,catalina
35028,celocaljar,tomcat-coyote
35029,org.apache.flink,flink-table-runtime_${scala.major.version}
35030,org.apache.flink,flink-python_${scala.major.version}
35031,org.apache.flink,flink-ml-iteration_${scala.major.version}
35032,org.flinkextended,dl-on-flink-framework
35033,org.apache.flink,"flink-streaming-scala_${scala.major.version}
            "
35034,org.apache.flink,"flink-table-api-java-bridge_${scala.major.version}
            "
35035,org.flinkextended,dl-on-flink-tensorflow-common
35036,org.flinkextended,dl-on-flink-operator
35037,org.flinkextended,dl-on-flink-tensorflow
35038,org.flinkextended,dl-on-flink-tensorflow-2.x
35039,org.flinkextended,dl-on-flink-pytorch
35040,io.hawt,hawtio-embedded
35041,io.hawt,hawtio-system
35042,io.hawt,hawtio-console-assembly
35043,io.hawt,hawtio-log
35044,io.quarkus.platform,quarkus-camel-bom
35045,io.hawt,hawtio-bom
35046,org.apache.camel.quarkus,camel-quarkus-log
35047,org.apache.camel.quarkus,camel-quarkus-stream
35048,org.apache.camel.quarkus,camel-quarkus-mock
35049,org.apache.camel.quarkus,camel-quarkus-quartz
35050,org.apache.camel.quarkus,camel-quarkus-management
35051,org.apache.camel.quarkus,camel-quarkus-jaxb
35052,org.apache.camel.quarkus,camel-quarkus-debug
35053,org.apache.camel.quarkus,camel-quarkus-timer
35054,io.hawt,hawtio-quarkus
35055,io.hawt.examples,hawtio-example-sample-plugin
35056,io.hawt,hawtio-quarkus-deployment
35057,io.hawt,hawtio-springboot
35058,io.hawt,hawtio-log-logback
35059,org.apache.camel.springboot,camel-stream-starter
35060,org.apache.camel.springboot,camel-quartz-starter
35061,org.apache.camel.springboot,camel-management-starter
35062,org.apache.camel.springboot,camel-spring-boot-xml
35063,org.apache.camel.springboot,camel-debug-starter
35064,org.seleniumhq.selenium,selenium-chromium-driver
35065,io.hawt.tests,hawtio-tests-${test-runtime}
35066,io.hawt,hawtio-war
35067,io.hawt,hawtio-jbang
35068,io.hawt,hawtio-local-jvm-mbean
35069,io.hawt,hawtio-plugin-mbean
35070,io.hawt,hawtio-springboot-keycloak
35071,org.simpleframework,simple
35072,net.sf,jargs
35073,com.turn,ttorrent-client
35074,com.turn,ttorrent-tracker
35075,com.turn,ttorrent-bencoding
35076,com.turn,ttorrent-test-api
35077,com.turn,ttorrent-network
35078,com.turn,ttorrent-common
35079,com.diboot,diboot-iam-spring-boot-starter
35080,com.diboot,diboot-core-spring-boot-starter
35081,com.diboot,diboot-core
35082,com.github.braisdom,objective-sql
35083,com.github.braisdom,mangosdk-spi
35084,com.github.braisdom,objsql-springboot
35085,com.atguigu.springcloud,cloud-api-common
35086,com.f2prateek.progressbutton,progressbutton
35087,ch.digitalfondue.npjt-extra,npjt-extra
35088,org.kubek2k,springockito
35089,com.julienvey.trello,trello-java-wrapper
35090,com.lambdaworks,scrypt
35091,${project.groupId},replaying-share
35092,com.meituan.octo,mns-invoker
35093,com.meituan.octo,dorado-core
35094,com.meituan.octo,dorado-protocol-octo
35095,com.meituan.octo,dorado-test-api
35096,com.meituan.octo,dorado-common
35097,com.meituan.octo,dorado-transport-netty
35098,com.meituan.octo,dorado-transport-httpnetty
35099,com.meituan.octo,dorado-core-default
35100,com.meituan.octo,dorado-registry-zookeeper
35101,com.meituan.octo,dorado-registry-mock
35102,com.meituan.octo,dorado
35103,com.sishuok,chapter2-fragment1
35104,com.sishuok,chapter2-fragment2
35105,com.sishuok,chapter2-initializer
35106,com.sishuok,chapter2-initializer-haha
35107,com.sishuok,chapter4-resource
35108,org.glassfish.main,simple-glassfish-api
35109,com.jtransc,jtransc-main
35110,com.jtransc,jtransc-rt-core
35111,com.ongres,docker-junit-extension
35112,io.quarkiverse.jooq,quarkus-jooq
35113,com.ongres,fluent-process
35114,com.oracle.substratevm,svm
35115,io.stackgres,stackgres-operator-framework
35116,io.stackgres,stackgres-test-util
35117,io.stackgres,stackgres-common
35118,io.swagger.core.v3,swagger-maven-plugin-jakarta
35119,com.ongres.pgconfig,pgconfig-validator
35120,com.kakarote,core
35121,io.springfox,springfox-data-rest
35122,com.github.adyliu,zkclient
35123,top.guoziyang,rpc-common
35124,top.guoziyang,rpc-core
