user,repo,type,orcount
trishullab,bayou.git,pom.xml,14873175311499358194983742396185903422137354220157958867928878960357667861483843274490071879221410330372573838178377488625769377033743692965887735646233696642453878231532366508787193963707941767258113512067584493810729012706108788306147449929197555431015650145785602584441746747835383234878720045150704168201700022591528421122165082607486024541375809726965592956413027151823640530680343582460118190625169895502413007094733552112398424011138666196241374123331681683784883253636139930488116360244862400684791396762208827988770816
nathanmarz,dfs-datastores.git,,0
WuXiaolong,DesignSupportLibrarySample.git,build.gradle,0
geekyijun,seckill.git,pom.xml,111053042325861874522545276558188078885292244843846092880535629570670586699079363116192536698186530466781884658398551914705424158049882015569269401159715956203847306194589581414647967262918886799892391599328754448413237844112195593462609531004484483924207893179928359819483181530143537059808901131540069302759576444326193104519920694525095015555708067707272344465162290621340170145126656090173816538358064554977050283916053639150313466632197838176483584140814570856198402580644979011225293964394131660922153825906795726990475264
bmeike,ProgrammingAndroidExamples.git,,0
guiguegon,SineView.git,build.gradle,0
dlukashev,AndroidSlidingUpPanel-foursquare-map-demo.git,build.gradle,0
guizhigang,LGImageCompressor.git,build.gradle,0
xingkongus,superXingPostCard.git,build.gradle,0
RameshBhupathi,CollapsingToolbar-With-Webview.git,build.gradle,0
benniaobuguai,android-dynamic-action.git,build.gradle,0
kercer,kerkee_android.git,build.gradle,0
bowyer-app,fab-toolbar.git,build.gradle,0
ChenTianSaber,SlideBack.git,build.gradle,0
crosswalk-project,crosswalk-cordova-android.git,build.gradle,0
wurstmeister,storm-kafka-0.8-plus.git,pom.xml,1903766439871917848957919026711795638033581340180218735094896506925781486269931939134729200540340522287689451286832318537807271280855120266901761162737987820637382956122384793956527120196156117965200524792609849406898289825198781421687133998168761855474022890988347399760875771408725174934139868491008858371212519189071567185109943852609880336466101639178030189835132836548150237202006568609905930363660039604822896217085244820356216176002909183697143955006774743416636579978672934781540408688418235020269560169302995436279169024
GleasonK,AndroidRTC.git,build.gradle,0
chentao0707,SettingView.git,,0
ogaclejapan,RxBinding.git,build.gradle,0
evollu,react-native-firebase-analytics.git,build.gradle,0
fanshanhong,fan-push.git,build.gradle,0
stephanenicolas,loglifecycle.git,build.gradle,0
lynfogeek,CollapsingHeader.git,build.gradle,0
sungerk,DropDownLayout.git,build.gradle,0
lupidan,PopoverView.git,,0
flavienlaurent,singleinputform.git,build.gradle,0
rdio,rdio-simple.git,,0
yammer,tenacity.git,pom.xml,66539429264302007633924408264816434849542783758597575779044772098599554091313983839602849828379027086720768267003343553630219581930431707504608008554064690046746782757999850317051793248988583566117924489793243462383236846923190576865090309790294831563371203875150183727818812558259479595667335260542354678408333379560870697269630372431183002982659614899511387100719813893658763877280513348124967315812918584517836578248184108303175141778324231452177353768495765979713657293000134417809862544955453903740209480898404046422371467264064
ijarobot,Android-Chat-Widget.git,,0
XiqingLiu,JesStatistics.git,build.gradle,0
andreasschrade,android-kiosk-mode.git,build.gradle,0
jayrambhia,Tooltip.git,build.gradle,0
spinscale,elasticsearch-suggest-plugin.git,pom.xml,199624379845513613038889890135334782294670058736081304037086619964620824774698015301013780618578810349833625407254148524309979729059393858898678111297914831701266387897653654151050126149741316534429653280562771787606704158275528178853827056458928424668574636018381391291579300090775897395354857113794806899859855008643620907093629797122960300047131842851874225964085023637785466362363321175622092772934738096422426366409192678094281129634706800941182605803601101677954404821747765972506425971458540494221166708367907445265782915727360
