id,group,aritfact
242833611528216133864932738352939863330300854881517440156476551217363035650651062272,io.protostuff,protostuff-core
485667223056432267729865476705879726660601709763034880312953102434726071301302124544,io.protostuff,protostuff-runtime
971334446112864535459730953411759453321203419526069760625906204869452142602604249088,org.codehaus.jackson,jackson-core-asl
1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,org.codehaus.jackson,jackson-mapper-asl
3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,org.codehaus.jackson,jackson-jaxrs
7770675568902916283677847627294075626569627356208558085007249638955617140820833992704,org.codehaus.jackson,jackson-xc
15541351137805832567355695254588151253139254712417116170014499277911234281641667985408,io.etcd,jetcd-core
31082702275611665134711390509176302506278509424834232340028998555822468563283335970816,javax.activation,javax.activation-api
62165404551223330269422781018352605012557018849668464680057997111644937126566671941632,com.sun.activation,javax.activation
124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,com.alibaba.middleware,metrics-core-api
248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,com.alibaba.middleware,metrics-core-impl
497323236409786642155382248146820840100456150797347717440463976893159497012533375533056,com.alibaba.middleware,metrics-common
994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,com.alibaba.middleware,metrics-rest
1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,com.alipay.sofa,registry-client-all
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264448,com.alipay.sofa,registry-test
7957171782556586274486115970349133441607298412757563479047423630290551952200534008528896,com.fasterxml.jackson.core,jackson-annotations
15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,javax.portlet,portlet-api
31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,io.etcd,jetcd-launcher
63657374260452690195888927762793067532858387302060507832379389042324415617604272068231168,io.grpc,grpc-core
127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,io.grpc,grpc-netty
254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,io.grpc,grpc-grpclb
509258994083621521567111422102344540262867098416484062659035112338595324940834176545849344,io.grpc,grpc-context
1018517988167243043134222844204689080525734196832968125318070224677190649881668353091698688,com.salesforce.servicelibs,grpc-contrib
2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,com.salesforce.servicelibs,jprotoc
4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,org.apache.maven,maven-plugin-api
