id,group,aritfact
4641,de.metas.device.adempiere,de.metas.device.adempiere
4642,de.metas.acct,de.metas.acct.base
4643,de.metas.adempiere.adempiere,de.metas.adempiere.adempiere.client
4644,de.metas.storage,de.metas.storage
4645,de.metas.material,metasfresh-material-planning
4646,de.metas.material,metasfresh-material-event
4647,de.metas.device.webui,de.metas.device.webui
4648,de.metas.monitoring,de.metas.monitoring
4649,de.metas.adempiere.adempiere,de.metas.adempiere.adempiere.patched-ecs
4650,de.metas.adempiere.adempiere,de.metas.adempiere.adempiere.migration-sql
4651,de.metas.common.bpartner,de-metas-common-bpartner
4652,org.jolokia,jolokia-core
4653,com.jgoodies,jgoodies-looks
4654,org.swinglabs,swingx
4655,it.sauronsoftware.cron4j,cron4j
4656,de.metas.report,de.metas.report.jasper.commons
4657,com.lowagie,itext
4658,org.jpedal,jpedal
4659,de.metas.vertical.healthcare.alberta,de.metas.vertical.healthcare.alberta
4660,de.metas.dimension,de.metas.dimension
4661,de.metas.dlm,metasfresh-dlm-base
4662,de.metas.document.archive,de.metas.document.archive.base
4663,de.metas.document,de.metas.document.refid
4664,de.metas.device.scales,de.metas.device.scales
4665,de.metas.edi,de.metas.edi
4666,de.metas.externalsystem,de.metas.externalsystem
4667,de.metas.contracts,de.metas.contracts
4668,de.metas.printing,de.metas.printing.embedded-client
4669,de.metas.dunning,de.metas.dunning
4670,de.metas.marketing,marketing-base
4671,de.metas.marketing,marketing-cleverreach
4672,de.metas.marketing,marketing-activecampaign
4673,de.metas.marketing,marketing-serialletter
4674,de.metas.vertical.creditscore,metasfresh-creditscore-base
4675,de.metas.vertical.creditscore,metasfresh-creditscore-creditpass
4676,de.metas.vertical.pharma,metasfresh-pharma.securpharm
4677,de.metas.payment.esr,de.metas.payment.esr
4678,de.metas.payment.sepa,de.metas.payment.sepa.base
4679,de.metas.payment.paypal,de.metas.payment.paypal
4680,de.metas.payment.revolut,de.metas.payment.revolut
4681,de.metas.material,metasfresh-material-cockpit
4682,de.metas.materialtracking,de.metas.materialtracking
4683,de.metas.report,metasfresh-report-service
4684,de.metas.procurement,de.metas.procurement.base
4685,de.metas.rfq,de.metas.rfq
4686,de.metas.purchasecandidate,de.metas.purchasecandidate.base
4687,de.metas.salescandidate,de.metas.salescandidate.base
4688,de.metas.serviceprovider,de.metas.serviceprovider.base
4689,de.metas.shipper.gateway,de.metas.shipper.gateway.derkurier
4690,de.metas.shipper.gateway,de.metas.shipper.gateway.dhl
4691,de.metas.shipper.gateway,de.metas.shipper.gateway.dpd
4692,de.metas.shipper.gateway,de.metas.shipper.gateway.go
4693,de.metas.datev,metasfresh-datev
4694,de.metas.material,metasfresh-material-dispo-service
4695,de.metas.servicerepair,de.metas.servicerepair.base
4696,de.metas.deliveryplanning,de.metas.deliveryplanning.base
4697,io.takari.junit,takari-cpsuite 
4698,de.metas.banking,de.metas.banking.swingui
4699,de.metas.dlm,metasfresh-dlm-swingui
4700,de.metas.vertical.pharma,metasfresh-pharma.msv3.server-peer
4701,de.metas.payment.sepa,de.metas.payment.sepa.schema.pain_001_01_03_ch_02
4702,de.metas.payment.sepa,de.metas.payment.sepa.schema.pain_008_003_02
4703,de.metas.invoice_gateway,metasfresh-invoice_gateway.spi
4704,de.metas.vertical.healthcare_ch,vertical-healthcare_ch.forum_datenaustausch_ch.invoice_base
4705,de.metas.banking,de.metas.banking.base
4706,de.metas.business,de.metas.business.rest-api
4707,de.metas.common.shipping,de-metas-common-shipping
4708,de.metas.common.product,de-metas-common-product
4709,de.metas.common.pricing,de-metas-common-pricing
4710,de.metas.salesorder,de-metas-salesorder
4711,de.metas.scripts.rollout,de.metas.scripts.rollout
4712,de.metas.dist,metasfresh-dist-base
4713,de.metas.dist,metasfresh-dist-swingui
4714,de.metas.ui.web,metasfresh-webui-api
4715,de.metas.acct,de.metas.acct.webui
4716,de.metas.forex,de.metas.forex.webui
4717,de.metas.aggregation,de.metas.aggregation
4718,de.metas.business,de.metas.business.rest-api-impl
4719,de.metas.fresh,de.metas.fresh.base
4720,de.metas.handlingunits,de.metas.handlingunits.webui
4721,de.metas.elasticsearch,de.metas.elasticsearch
4722,de.metas.inbound,de.metas.inbound.mail
4723,de.metas.invoice,de.metas.invoice.webui
4724,de.metas.vertical.pharma,metasfresh-pharma
