user,repo,type,orcount
choijunkeun,hexagonalblog.git,build.gradle,0x0
Yassine-walid,video-service-walidyassine-hajarelbadraouiTP.git,pom.xml,0x1c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002001000060200
maddie480,MergeRequestReportGenerator.git,pom.xml,0x300000000000000000004001000000000000000000000000000000000000000000000000000000000000000000000
brunodeveloper10,spring-concepts.git,build.gradle,0x0
vdourson2,java_week_2.git,unknown,0x0
HannahkoHarashi,CoffeeProject.git,unknown,0x0
Mallerly01,Cuadernillo.git,unknown,0x0
LP3kmikristian,TP_ARCE_DOREGO.git,pom.xml,0x2001000040200
MTtechMa,CIS406.git,unknown,0x0
main2000,LAB_FLT.git,unknown,0x0
josh-flatt,WordleSolver.git,pom.xml,0x6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0000000000000000000000000000000c
Lelebees,impera-turn-ping.git,pom.xml,0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000002001000040200
LanAnhPham12,CTDL.git,unknown,0x0
Luismi4,Dam2.git,unknown,0x0
UPS-API,java-api-examples.git,pom.xml,0x100000000000000000000000003fc00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000004010000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000003ff0004000000000000000000000000000000000000000000000000000201800000030200000004000000000000000000000000000000000001000000000000028000000000000002060200
cloudspannerecosystem,spanner-schema-diff-tool.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000400000000200000000000000000000000000000000000000000000000000000000000000000000000002000000
popovstefan,aoc.git,pom.xml,0x0
TheRealGGIOVI,Programaci-n.git,unknown,0x0
Arkantrust,task-tracker.git,pom.xml,0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000020000
pSrijana,OI-J3.git,unknown,0x0
SLIPPECAT,lucene.git,build.gradle,0x0
GithubNraghav,EmployeeManagement.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000
NachtZhong,data-structures-and-algorithms.git,unknown,0x0
code-mm,spring-boot-mybatis-plus-example.git,build.gradle,0x0
Xeriou,sbptest2.git,pom.xml,0x400000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001020000000000001000040000000800040200
pranayar,AniFact---Animal-Search-Android-App-.git,build.gradle,0x0
kisevu,transport.git,pom.xml,0x1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040200
AnticiscoFreeman,devstats.git,build.gradle,0x0
itzdevi,DiscShooter.git,build.gradle,0x0
Kannan-75,MyAssingments.git,unknown,0x0
