id,group,aritfact
11753,com.github.nhojpatrick.hamcrest,nhojpatrick-hamcrest-lang
11754,io.cucumber,datatable
11755,com.github.nhojpatrick.hamcrest,nhojpatrick-hamcrest-optionals
11756,no.cantara.base,Hystrix-BaseCommands
11757,com.github.v-ladynev,fluent-hibernate-core
11758,org.richfaces,richfaces-core
11759,org.springframework.boot,spring-boot-gradle-plugin
11760,net.sourceforge.jwebunit,jwebunit-core
11761,org.springframework.security.experimental,spring-security-oauth2-authorization-server
11762,io.micrometer,micrometer-observation
11763,org.semanticweb.elk,elk-owlapi4
11764,com.amigoscode,amqp
11765,com.amigoscode,clients
11766,com.neo4j,neo4j-security-enterprise
11767,com.neo4j.test,neo4j-harness-enterprise
11768,com.neo4j,enterprise-it-test-support
11769,com.github.UST-edmm,edmm
11770,com.github.OpenTOSCA,container-client
11771,${winery.groupid},org.eclipse.winery.model.tosca.canonical
11772,${winery.groupid},org.eclipse.winery.repository
11773,org.apache.maven.plugins,maven-surefire-report-plugin
11774,onlydust.com.marketplace.api,domain
11775,onlydust.com.marketplace.api,postgres-adapter
11776,onlydust.com.marketplace.api,rest-api-adapter
11777,onlydust.com.marketplace.api,aws-s3-adapter
11778,onlydust.com.marketplace.api,bootstrap
11779,com.onlydust.marketplace.api,github-api-adapter
11780,onlydust.com.marketplace.api,od-rust-api-client-adapter
11781,onlydust.com.marketplace.api,indexer-api-client-adapter
11782,onlydust.com.marketplace.api,webhook-adapter
11783,onlydust.com.marketplace.api,cron-adapter
11784,com.maciejwalkowiak.spring,wiremock-spring-boot
11785,com.onlydust.marketplace.api,linear-adapter
11786,onlydust.com.marketplace.api,marketplace-api-contract
11787,onlydust.com.marketplace.api,backoffice-api-contract
11788,com.rudyii.hs,common
11789,com.intellij,annotations
11790,org.simplejavamail,core-module
11791,com.mojang,brigadier
11792,com.mojang,datafixerupper
11793,com.mojang,logging
11794,org.axonframework,axon-test
11795,info.cukes,gherkin
11796,com.liquid,util
11797,com.jayway.restassured,json-path
11798,org.eclipse.rdf4j,rdf4j-model
11799,org.eclipse.rdf4j,rdf4j-rio-rdfxml
11800,${project.groupId},helpers
11801,org.eclipse.rdf4j,rdf4j-model-vocabulary
11802,org.eclipse.rdf4j,rdf4j-query
11803,org.eclipse.rdf4j,rdf4j-queryresultio-text
11804,com.github.auties00,whatsappweb4j
11805,software.amazon.cloudformation,aws-cloudformation-rpdk-java-plugin
11806,software.amazon.awssdk,redshift
