user,repo,type,orcount
elastic,elasticsearch-river-couchdb.git,pom.xml,0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
JakeWharton,HanselAndGretel.git,pom.xml,0x38000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
XianyuTech,hybrid_stack_manager.git,build.gradle,0x0
dkmeteor,RecyclerViewAnimator.git,unknown,0x0
yqritc,Android-ScalableImageView.git,build.gradle,0x0
toddway,ListOfThings.git,build.gradle,0x0
LaravelChen,TouTiao.git,build.gradle,0x0
zzz40500,AnimatorCompat.git,build.gradle,0x0
xseignard,cordovarduino.git,unknown,0x0
wosyingjun,Leek.git,pom.xml,0x7c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000002200d0000000000000
AzimoLabs,MaskFormatter.git,build.gradle,0x0
Michenux,YourAppIdea.git,build.gradle,0x0
adamrocker,volley.git,pom.xml,0x808000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007
rajasharan,SearchableSpinner.git,build.gradle,0x0
scireum,parsii.git,pom.xml,0x0
openMF,mifosx.git,build.gradle,0x0
chenpengfei88,StatusLayout.git,build.gradle,0x0
stephanenicolas,loglifecycle.git,build.gradle,0x0
kejunxia,AndroidMvc.git,build.gradle,0x0
AlanCheen,AndFixDemo.git,build.gradle,0x0
Geekince,WaterWaveView.git,unknown,0x0
baneizalfe,PullToDismissPager.git,build.gradle,0x0
lynfogeek,CollapsingHeader.git,build.gradle,0x0
guangzq,StepDialog.git,build.gradle,0x0
hoerresb,WifiWizard.git,unknown,0x0
babysource,VRDroid.git,build.gradle,0x0
shanyao0,SimpleApp.git,pom.xml,0x1
sungerk,DropDownLayout.git,build.gradle,0x0
lupidan,PopoverView.git,unknown,0x0
flavienlaurent,singleinputform.git,build.gradle,0x0
yammer,tenacity.git,pom.xml,0x7ff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f000000000000000000020000000000000000000000042000000000000000008
ijarobot,Android-Chat-Widget.git,unknown,0x0
XiqingLiu,JesStatistics.git,build.gradle,0x0
Blucezhang,micro-server-own.git,pom.xml,0x3ff8000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000020000000000010000000000000000000000000000040000000000000000000080000000000000000000000000000000000100000000000000000000000000000011a0811608100000021a2000c800020000000
riggaroo,android-arch-components-date-countdown.git,build.gradle,0x0
kryptco,krypton-android.git,build.gradle,0x0
tata88k,zxing-barcode.git,build.gradle,0x0
